Name,Date of birth,Date of death,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Collector,Specialty Author,Citation as Author,Citation as Collector,Member of teams/groups,Holdings,Collections in,Collector Teams:,URL,Geography Author,Specialty Collector,Author in,Author Teams:,Start Date,End Date,First date collected,Geography Determiner,Specialty Determiner,First date flourished,Last date collected,Citation as Determiner,Last date flourished,Specialty,Vernacular name,First date received
"Peguero, Brígido",1952,2021,"[author note: Jardín Botánico Nacional; Col. at: JBSD, MAPR, MO, NY, S] [collector note: col. with J. Salazar & A. Veloz; JBSD, MAPR, MO, NY, S] Example of Names published: Cojoba samanensis R.G. Garcia & Peguero in Moscosoa 12: 4. 2002 (""2001"")",135773 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cd9cee44-a989-4c94-9e57-68392b19d6b5,Brígido Peguero,Peguero,Peguero,B. Peguero,"Peguero, Brígido",Dominican Republic,Spermatophytes,Dates from: Thomas A. Zanoni (NY); Obituary in: Jardín Botánico Nacional Dr. Rafael M. Moscoso http://www.jbn.gob.do/index.php/noticias/item/437-el-jardin-botanico-nacional-lamenta-perdida-del-biologo-brigido-peguero,Moscosoa 12: 6. 2002,,,,"J. Salazar, B. Peguero & A. Veloz  F. Jiménez Rodr. & B. Peguero",,Dominican Republic,Phanerogams,,,,,,,,,,,,,,
"Perrin du Lac, Francois Marie",1766,1824,Likely not authored any plant name,162065 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/98d2590c-8a20-4bf6-9ba7-1ac458dd51a6,Francois Marie Perrin du Lac,Perrin du Lac,Perrin du Lac,F. M. Perrin du Lac,"Perrin du Lac, Francois Marie",,Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Dates from Thomas A. Zanoni (NY)",,,,,,,"Dominican Republic, France, United States of America",,,,,,,,,,,,,,,
"Poiteau, Pierre Antoine",1766,1854,"[author note: Herbarium and types: P, PC; additional material at B (Willd.), BR, E, F, FI, G (important set), GH, H, K, L, LE, MO, NA, NEU, NY, PH, W] [collector note: Herbarium: P, PC. French Antilles: FI-W, G-DC, P; Dominican Republic (col. ±1794-1802): BR, E (bryo.), FI-W, G, H (50), LE, P (orig.), PC, W; French Guiana (col. 1817-1822): b, BR (±300, col. et al.), DPU, F, FI, G, GH, K, LE (350), MO, NY, P (Phan. & pter., orig.), PC, PH, W (Phan.); Haiti (col. ±1796-1801): B (±400, incl. musci), BR, FI, G, L, LE, MO, NA, NEU, P (orig.), PH; French West Indies: NY]",127538 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f9af217e-8800-4a5e-835b-f9e61db15e6b,"Pierre Antoine Poiteau; Poitteau, Pierre Antoine",Poiteau,Poit.,P. A. Poiteau,"Poiteau, Pierre Antoine","Dominican Republic, French Guiana, Guyana, Haiti",Fungi and Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,Search for specimens collected by P. A. Poiteau,"[no date] (10),  1802 (1),  1824 (3)",P. A. Poiteau & P. J. F. Turpin,,"France, French Guiana, Haiti",Bryophytes; Phanerogams; Pteridophytes,Hist. Nat. Orangers,,,,,,,,,,,,,
"Prenleloup, L. A.",,1885,"[author note: Zamia] [collector note: Santo Domingo (col. 1853-69): B, G, LAU, NY, US; Switzerland: LAU]",107507 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5315a9db-7680-49e4-99fa-f5b81b8df050,L. A. Prenleloup,Prenleloup,Prenlel.,L. A. Prenleloup,"Prenleloup, L. A.","Dominican Republic, Switzerland",Spermatophytes,Bulletin de la Société Vaudoise des Sciences Naturelles. Lausanne,Index Herbariorum - Collectors N-R,,,,,,Switzerland,Phanerogams,,,,,,,,,,,,,,
"Proctor, George Richardson",1920,2015,"[author note: Herbarium and types: SJ. West Indian flora, pteridophytes] [collector note: GH, SJ, MICH, NEBC, TEX, US. Belize (col. 1969)]",101316 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/57f6cd2a-1f2e-4186-858e-d07c3609ef5d,"George Richardson Proctor; Proctor, G. R. et alia",Proctor,Proctor,G. R. Proctor,"Proctor, George Richardson","Belize, Cuba, Dominican Republic, Honduras, Jamaica, Saint Lucia, United States of America",Pteridophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; Death year from David E. Boufford (GH)","Index Herbariorum, ed. 8",,Search for specimens collected by G. R. Proctor,"[no date] (4),  1925 (2),  1928 (1),  1930 (1),  1943 (1),  1946 (3),  1947 (1),  1948 (1),  1949 (3),  1950 (1),  1951 (6),  1952 (41),  1953 (12),  1954 (33),  1955 (31),  1956 (27),  1957 (53),  1958 (89),  1959 (172),  1960 (107),  1961 (14),  1962 (13),  1963 (25),  1964 (17),  1965 (43),  1966 (3),  1967 (5),  1968 (4),  1969 (1),  1970 (5),  1971 (4),  1973 (4),  1974 (20),  1975 (8),  1976 (2),  1977 (16),  1978 (2),  1979 (6),  1980 (2),  1981 (9),  1991 (3)","G. R. Proctor, M. Vives & W. Estremera  G. R. Proctor & P. McKenzie  R. A. Howard, G. R. Proctor & B. L. Wagenknecht  G. R. Proctor & W. Estremera  A. E. Areces-Mallea & G. R. Proctor  G. R. Proctor & D. A. Powell  G. C. Jones, G. R. Proctor & L. Facey  G. R. Proctor, G. C. Jones & L. Facey  G. R. Proctor et al.  G. R. Proctor & W. T. Gillis  R. A. Howard, G. R. Proctor & W. T. Stearn  R. A. Howard & G. R. Proctor  R. A. Howard & Proctor  Proctor & Vivaldi  Gillis & Proctor  G. R. Proctor & W. Mullings  G. L. Webster & G. R. Proctor  F. A. Barkley & G. R. Proctor  Bro. Alain & G. R. Proctor  G. L. Webster, G. R. Proctor & D. A. Powell  G. R. Proctor & A. D. Skelding  G. R. Proctor & A. Lourteig  B. Jestrow & G. R. Proctor  W. T. Gillis & G. R. Proctor  G. R. Cooley & G. R. Proctor  G. R. Proctor & G. R. Cooley  B. D. Morley, C. Whitefoord & G. R. Proctor  W. T. Stearn, R. A. Howard & G. R. Proctor  George R. Proctor & Hector Gentles  G. R. Proctor & J. A. Cedeno-Maldonado  G. R. Proctor, D. A. Powell & L. Facey",,"Jamaica, United States of America",Phanerogams; Pteridophytes,Ferns Jamaica,R. A. Howard & Proctor  Proctor & Vivaldi  Gillis & Proctor  Proctor & Lourteig  Jestrow & Proctor,,,,,,,,,,,,
"Pupulin, Franco",1960,,"[author note: Orchidaceae] [collector note: SEL, USJ]",128105 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e8aff4ad-55d5-4d9f-9c63-98202fa2e9a4,Franco Pupulin,Pupulin,Pupulin,F. Pupulin,"Pupulin, Franco","Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, Guatemala, Italy, Panama",Spermatophytes,"Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL; Selbyana 18: 7. 1997; pers. comm.","Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL",,Search for specimens collected by F. Pupulin,2009 (1),"F. Pupulin & M. Flores  D. E. Mora-Retana & F. Pupulin  M. A. Blanco, F. Pupulin, H. León-Páez & G. Gerlach  F. Pupulin, R. L. Dressler, K. Dressler, D. E. de Mora-Retana & R. Dodero  F. Pupulin & D. Castelfranco  F. Pupulin, D. Castelfranco, H. L. P. Montealegre & A. C. Rodríguez  D. E. Mora-Retana, F. Pupulin & A. Herrera  F. Pupulin, M. L. Spadari, J. Cambronero, V. Juarez-Pérez & K. Granado  F. Pupulin, D. Castelfranco & E. Salas  F. Pupulin, H. L. P. Montealegre, M. Bonilla & J. C. Cervantes  F. Pupulin, D. Castelfranco & L. Spadari  F. Pupulin, A. P. Karremans & G. Merino  R. L. Dressler & F. Pupulin  F. Pupulin & M. A. Blanco  B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin",,"Costa Rica, Italy",Phanerogams,"Vanishing Beauty, Native Costa Rican Orchids","Pupulin, Karremans & G. Merino  Dressler & Pupulin  Pupulin & Karremans  Pupulin & M. A. Blanco  F. Pupulin, Isler. F. Chinchilla, A.F. Rojas-Alvarado, M. Fernández, C. Ossenbach & D. Bogarín   F. Pupulin & D. Bogarín",,,,,,,,,,,,
"Raunkiaer, Christen Christiansen",1860,1938,"[author note: Herbarium and types: C; additional material at BR, L, MO, NY] [collector note: Original herbarium: C; collections: B, MICH, US]",123090 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5e7bea03-d1aa-413f-99a2-092d040d489d,Christen Christiansen Raunkiaer,Raunkier,Raunk.,C. C. Raunkiaer,"Raunkiaer, Christen Christiansen","Denmark, Dominican Republic, France, Italy, Spain, Tunisia, Virgin Islands (United States of America)",Fungi and Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors N-R,,Search for specimens collected by C. C. Raunkiaer,"1900 (11),  1906 (2),  1917 (1)",,,Denmark,,,,,,,,,,,,,,,
"Read, Robert William",1931,,"[author note: FTG: Arecaceae, Bromeliaceae] [collector note: Arecaceae, Bromeliaceae; FTG, US]",109459 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6c430250-aa6f-4096-899d-c3ee330e6920,Robert William Read,Read,Read,R. W. Read,"Read, Robert William","Dominican Republic, Haiti, Jamaica, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,Search for specimens collected by R. W. Read,"1960 (2),  1964 (2),  1965 (3),  1966 (1),  1967 (13)","R. W. Read & G. S. Daniels  L. B. Smith & Read  Read & Baensch  D. H. Goldman, L. Lockett & R. W. Read  W. J. Dress & R. W. Read  G. S. Varadarajan & R. W. Read",,United States of America,Phanerogams,,"L. B. Smith & Read  Read & Baensch  D. H. Goldman, Lockett & Read  L. B. Smith & R. W. Read",,,,,,,,,,,,
"Robin, Claude César",1750,,[author note: Herbarium and types unknown] [collector note: Herbarium unknown],146646 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/e62ce147-3e83-4200-a86a-5cc353032e98,Claude César Robin,C. C. Robin,C. C. Robin,C. C. Robin,"Robin, Claude César","Dominican Republic, France, Martinique, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Jimenez. 1985. Colectores de Plantas de la Hispaniola,,,,,,"France, United States of America",Phanerogams,,,,,,,,,,,,,,
"Safford, William Edwin",1859,1926,[author note: Herbarium and types: US] [collector note: Original collections: US],117131 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/213a01e1-1f2a-4696-84e6-badad1663a16,William Edwin Safford,Safford,Saff.,W. E. Safford,"Safford, William Edwin","Dominican Republic, Haiti, Jamaica, Mexico, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,Search for specimens collected by W. E. Safford,"1888 (1),  1892 (1)",,,United States of America,,,,,,,,,,,,,,,
"Schomburgk, Robert Hermann",1804,1865,"Brother of Richard Schomburgk [author note: Herbarium and types: BM, K; additional material at AMES, AWH, B (mostly destroyed), BR, CGE, DS, E, F, G, G-DC, GH, HAL, L, LIVU, LZ (destroyed), MANCH, NY, OXF, PH, TCD, U, UPS, US, W] [collector note: col. widely in the Lesser Antilles and NE South America; Venezuelan collections in 1839; Guyana in 1835-1843]",101429 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6eff74dc-e95a-4735-b34d-dfa253089d96,Robert Hermann Schomburgk,R. H. Schomburgk,R. H. Schomb.,R. H. Schomburgk,"Schomburgk, Robert Hermann","Brazil, Dominican Republic, Germany, Guyana, Venezuela",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht","Index Herbariorum - Collectors S; J. de J. Jimenez, Colectores de plantas de la Hispaniola: 151-154. 1985",,Search for specimens collected by R. H. Schomburgk,"[no date] (45),  1836 (1),  1837 (2),  1838 (2),  1839 (3),  1840 (2),  1841 (3),  1842 (8)",,,Germany,Phanerogams,Reis. Guiana & Orinoko; Rapatea,,,,,,,,,,,,,
"Seifriz, William Ernest",1888,1955,"[author note: Herbarium and types: US; additional material at MEDEL, PH] [collector note: see Chardon, Carlos E., Los Naturalistas de America Latina.]",140157 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6c228335-208c-4b38-b445-236d21def304,William Ernest Seifriz,Seifriz,Seifriz,W. E. Seifriz,"Seifriz, William Ernest","Dominican Republic, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S; Jimenez. 1985. Colectores de Plantas de la Hispaniola,,Search for specimens collected by W. E. Seifriz,"1932 (1),  1940 (2)",,,United States of America,,,,,,,,,,,,,,,
"Shore, Joel S.",1955,,"Turnera campaniflora Arbo, Shore & S. C. H. Barrett (2005). [collector note: Dominican Republic, 1980]",114478 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/da361c6f-a691-4025-af47-85b6c53763dd,,Shore,Shore,J. S. Shore,"Shore, Joel S.","Canada, Dominican Republic",Spermatophytes,Bonplandia. Corrientes,Jimenez. 1985. Colectores de Plantas de la Hispaniola,,,,,http://www.yorku.ca/shore/,Canada,Phanerogams,,,,,,,,,,,,,,
"Skean, James Daniel, Jr.",1958,,"Example of Name Published: Miconia zanonii in Brittonia 40(2): 208-213. 1990. [author note: ALBC; West Indian Melastomataceae; flora of S Michigan] [collector note: A, ALBC, EHH, FLAS, NY]",164976 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6bb000e0-8836-4247-a8d2-512482d0bc65,"James Daniel Skean, Jr.",Skean,Skean,J. D. Skean,"Skean, James Daniel, Jr.","Dominican Republic, Grenada, Haiti, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; pers. comm. from the author","Index Herbariorum, ed. 8",,Search for specimens collected by J. D. Skean,"1980 (2),  1981 (15),  1984 (2)","W. S. Judd & J. D. Skean  W. S. Judd, R. S. Beaman & J. D. Skean  W. S. Judd, J. D. Skean & R. S. Beaman  J. D. Skean, W. S. Judd & R. S. Beaman  Skean & Judd  W. S. Judd & J. D. Skean  W. S. Judd, J. D. Skean & R. S. Beaman",,United States of America,Phanerogams,,"Skean & Judd  Judd & Skean  Judd, Skean & R. S. Beaman  Judd, Skean, Penneys & Michelang.  Ionta, Judd & Skean",,,,,,,,,,,,
"Smith, Gary Lane",,,"[author note: NY, F; Polytrichaceae] [collector note: Alaska: CANM, H, NY, NYS, UB (orig. Bryo.)] Gary Lane Smith (till 1980; Smith refers to the adopting parent); Gary Lane Smith Merrill (after 1980; Merrill refers to the biological parent); Later Gary Lane Merrill. Example of name published: Polytrichastrum alpinum (Hedw.) G.L. Sm.",138225 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/7d7b1427-7c0d-41d4-9ae1-afe15f684705,"Gary Lane Smith; Smith Merrill, Gary Lane; Merrill, Gary Lane",G. L. Smith,G.L.Sm.,Gary L. Smith,"Smith, Gary Lane","Brazil, Dominican Republic, United States of America",Bryophytes; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew",Index Herbariorum - Collectors S,,Search for specimens collected by Gary L. Smith,"1966 (59),  1983 (1)","N. F. F. MacLeish, G. Martinelli, Gary L. Smith & J. D. Stutts  H. S. Irwin, R. M. Harley & Gary L. Smith  H. S. Irwin, R. M. Harley, Gary L. Smith et al.  S. J. Smith & Gary L. Smith  S. J. Smith, W. C. Steere & G. L. Smith  C. T. Rogerson & G. L. Smith",,United States of America,Bryophytes; Phanerogams; Pteridophytes,,,1939,,,,,,,,,,,
"Sohmer, Seymour Hans",1941,,"[author note: BISH, BRIT: Rubiaceae (Psychotria)] [collector note: Dominican Rep. (col. 1974: Chamisoa); UWL?; Mexico: e.g. BISH?, F.]",108536 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/44378025-9063-43ab-a42b-d2f6ab055cfa,"Seymour Hans Sohmer; Sohmer, S. H.; Sohmer, S. H., et alia",Sohmer,Sohmer,S. H. Sohmer,"Sohmer, Seymour Hans","Dominican Republic, Mexico, Papua New Guinea, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY; Sida, Botanical Miscellany. Dallas, TX",Index Herbariorum - Collectors S,,Search for specimens collected by S. H. Sohmer,"1969 (4),  1970 (4),  1973 (6),  1975 (1),  1979 (6),  1987 (2)","S. H. Sohmer & D. B. Sumithraarachchi  S. H. Sohmer & P. Katik  S. H. Sohmer et al.  Sohmer & A. P. Davis  S. H. Sohmer & S. Waas  S. H. Sohmer, M. Jayasuriya & K. Eliezer  J. H. Beaman, R. S. Beaman, T. E. Beaman & S. H. Sohmer  S. H. Sohmer & A. H. M. Jayasuriya  S. H. Sohmer & K. Kerenga  S. H. Sohmer & O. G. Gideon  D. R. Herbst, S. H. Sohmer & W. L. Wagner  W. L. Wagner, D. R. Herbst & S. H. Sohmer",,United States of America,Phanerogams,Man. Fl. Pl. Hawaii,"Sohmer & A. P. Davis  D. R. Herbst, Sohmer & W. L. Wagner  W. L. Wagner, D. R. Herbst & Sohmer",,,,,,,,,,,,
"Taylor, Norman",1883,1967,"[author note: Herbarium and types: NY; duplicates specimens at B (mostly destr.), BKL] [collector note: NY (orig.), B, BKL, F, NEBC, US] Example of Name Published: Mikania alba N. Taylor in Torreya, 7: 186. 1907.",124327 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/dda31269-a3d4-4f82-afca-52aff165b4c8,Norman Taylor,N. Taylor,N.Taylor,N. Taylor,"Taylor, Norman","Bahamas, Cuba, Dominican Republic, Haiti, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors T-Z; Jimenez. 1985. Colectores de Plantas de la Hispaniola,,Search for specimens collected by N. Taylor,"1907 (1),  1909 (8),  1921 (1)",G. V. Nash & N. Taylor  N. Taylor & H. S. Hill,,United States of America,Phanerogams,,,,,,,,,,,,,,
"Thouars, Louis Marie Aubert du Petit",1758,1831,"[collector note: Tristan da Cunha; B, K, P, PC]",141551 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9d38deb3-b8e1-495e-bfbe-0cf96e787d15,"Aubert du Petit-Thouars, Louis Marie; Louis Marie Aubert du Petit Thouars; Petit-Thouars, Louis Marie Aubert; du Petit-Thouars, Louis Marie Aubert",Thouars,Thouars,L. M. du Petit-Thouars,"Thouars, Louis Marie Aubert du Petit","Dominican Republic, France, French Polynesia, Madagascar, Mauritius",Pteridophytes; Spermatophytes,TL-2 1: 704. 1976,"Index Herbariorum - Collectors N-R; Lourteig, Taxon 19: 303. 1970",,Search for specimens collected by L. M. du Petit-Thouars,[no date] (4),,,France,Phanerogams; Pteridophytes,,,,,,,,,,,,,,
"Trappe, James Martin",1931,,"[author note: OSC: Mycology, mycorrhizae, forest pathology] [collector note: OSC]",104752 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/47464c04-bd48-499b-9b66-20f39780d39f,"James Martin Trappe; Trappe, J. M.",Trappe,Trappe,J. M. Trappe,"Trappe, James Martin","Dominican Republic, United States of America",Fungi and Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY",Index Herbariorum - Collectors T-Z,,Search for specimens collected by J. M. Trappe,"[no date] (5),  1956 (1),  1965 (4),  1966 (9),  1968 (3),  1969 (7),  1970 (1),  1971 (4),  1972 (1),  1973 (3),  1974 (2),  1975 (8),  1976 (5),  1977 (2),  1979 (1),  1980 (1),  1982 (1),  1986 (1),  1991 (23),  1992 (14),  1993 (3),  1996 (1),  1999 (1),  2005 (1)","D. J. Lodge, G. Dobler, M. Castellano & J. M. Trappe  A. W. Claridge, J. M. Trappe & A. M. Jumpponen  Trappe & Bougher  J. W. Gerdemann & J. M. Trappe  P. B. Matheny, J. M. Trappe & N. L. Bougher  E. L. Stewart & J. M. Trappe  M. E. Smith, J. M. Trappe & D. M. Rizzo  J. M. Trappe & G. M. Kovács  J. M. Trappe & J. W. Kimbrough  J. M. Trappe, E. L. Stewart & W. G. Cibula  J. M. Trappe & F. A. Uecker  M. A. Castellano, J. M. Trappe & N. Malajczuk  J. M. Trappe & A. M. Jumpponen  J. M. Trappe, A. W. Claridge & G. Mires  E. Cazares & J. M. Trappe  J. M. Trappe, G. Bonito & P. Rawlinson  J. M. Trappe, W. Bushnell & M. A. Castellano  W. Colgan & J. M. Trappe  D. Luoma, J. M. Trappe & M. A. Castellano",,"Australia (Country), United States of America",Fungi,,"Trappe & Bougher  Gerdemann & Trappe  Matheny, Trappe & Bougher  E. L. Stewart & Trappe  M. E. Smith, Trappe & Rizzo  Trappe & Kovács  Trappe & Kimbrough  J. M. Trappe & A. H. Smith  Castellano, Trappe & Malajczuk  R. Fogel & J. M. Trappe  J. M. Trappe & H. D. Thiers  J. M. Trappe, T. Lebel, & M. A. Castellano  J. M. Trappe & L. C. Grubisha  J. M. Trappe & A. W. Claridge  J. M. Trappe & G. Guzman  J. M. Trappe & A. M. Jumpponen  J. M. Trappe, A. W. Claridge & G. Mires  Trappe & Castellano  Bougher & Trappe  M. E. Smith & Trappe  Trappe, Bonito & P. Rawlinson  Trappe, Bushnell & Castellano  W. Colgan & Trappe",,,,,,,,,,,,
"Türckheim, Hans von",1853,1920,"[author note: Herbarium and types: B (mostly destroyed), US; additional material at A, AMES, B, BHU, BM, BP, BR, C, COLU, E, F, G, GB, GH, GOET, H, ILL, ISC, JE, K, L, M, MANCH, MICH, MO, NY, P, PH, S, SI, STU, U, US, VT, W, WU, WRSL, WU, Z] [collector note: in Dominica Republic (1909-1910)] Example of Names Published: Costus splendens Donn.Smith & Türckheim, Bot. Gaz. 33: 260 (1902).",173225 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/4efc4c16-a40c-494b-9a84-004dd5220757,"H. v. Tuerckheim; Tuerckheim, Hans von; Tuerckheim, Hans von; Hans von Türckheim; H. von Türckheim; H. v. Türckheim, II; H. von Tuerckheim",Türckheim,Türckh.,H. v. Türckheim,"Türckheim, Hans von","Dominican Republic, Guatemala",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht","Index Herbariorum - Collectors T-Z; As ""H. v. Türckheim, II"" in: Repert. Spec. Nov. Regni Veg. 10: 249. 1911; Specimen (GH) Heleocharis spiralis (Rottb.) R. Br.",,Search for specimens collected by H. v. Türckheim,"[no date] (19),  1877 (8),  1878 (2),  1879 (7),  1880 (1),  1881 (1),  1884 (1),  1885 (20),  1886 (79),  1887 (60),  1888 (23),  1889 (4),  1890 (1),  1892 (4),  1900 (33),  1901 (54),  1902 (31),  1903 (40),  1904 (21),  1906 (14),  1907 (119),  1908 (61),  1909 (13),  1910 (113),  1912 (62),  1913 (41),  1914 (1),  1920 (1)",,,Germany,Algae; Bryophytes; Spermatophytes,,,,,,,,,,,,,,
"van Ee, Benjamin William",1975,,Example of Name Published: ined. Research: Biogeography & Systematics of Croton & Euphorbia [collector note: US],189935 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/29940b07-5342-40e8-b767-623ede242a96,"Benjamin William van Ee; Van Ee, Benjamin William",B. W. van Ee,B. W. van Ee,B. W. van Ee,"van Ee, Benjamin William","Argentina, Brazil, Costa Rica, Cuba, Dominican Republic, Jamaica, Mexico, Nicaragua, United States of America",Spermatophytes,"Botanical Review, Interpreting Botanical Progress",pers. comm. with B. W. van Ee,,,,"B. van Ee, P.E. Berry, L. Brako, & M. van Ee  M. Sugumaran, B. van Ee, Y. W. Low, (Haj) Mohamad Silah Bin Mohamad Yusuf, Mohamad Khairul Ridzuan Bin Mohamad Shan, & Zulkapli Ibrahim  B. van Ee & P.E. Berry  B. W. van Ee, P. E. Berry & S. Ginzbarg  P. E. Berry & B. W. van Ee  B. van Ee & M. Sugumaran",,United States of America,Phanerogams,,"B. van Ee & P.E. Berry  B. W. van Ee, P. E. Berry & S. Ginzbarg",,,,,,,,,,,,
"Wilcox, Edwin Forrest Mead",1876,1931,[author note: Herbarium and types: OS] [collector note: OS],137548 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/aea3da79-3dfc-44ca-9027-16bdbcb6e8d7,Edwin Forrest Mead Wilcox,Wilcox,Wilcox,E. F. M. Wilcox,"Wilcox, Edwin Forrest Mead",United States of America,Fungi and Lichens; Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors T-Z,,,,,,"Dominican Republic, United States of America",,,,,,,,,,,,,,,
"Withner, Carl Leslie",,,[author note: Orchids] [collector note: Orchidaceae; RPSC] Example of Name Published: Oncidium gauntlettii Withner & Jesup in Amer. Orch. Soc. Bull. 33: 463. 1964.,100524 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/610ed1ab-a79a-4b35-bcd8-02811b33960a,Carl Leslie (Jr.) Withner,Withner,Withner,C. L. Withner,"Withner, Carl Leslie","Dominican Republic, Ecuador, United States of America",Spermatophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Death year from John Pacewicz","Icones Plantarum Tropicarum. Sarasota, FL",,Search for specimens collected by C. L. Withner,"[no date] (15),  1965 (2),  1980 (1),  1987 (2),  1988 (5),  1989 (8),  1990 (5),  1991 (6),  1992 (3),  1993 (3),  1994 (2),  1995 (3),  1997 (5),  1998 (1),  1999 (1)","R. McCullough, C. L. Withner, D. D'Alessandro & C. Head  Withner & P. A. Harding  Withner & G. E. Pollard  Withner & D. G. Hunt  Withner & H. P. Jesup  C. L. Withner & J. J. Jiménez Almonte  C. L. Withner, K. W. Allison & B. Guénard",,United States of America,Phanerogams,Cattleyas & Relatives; Cattleyas & Relatives: Debatable Epidendrums; Orchids Sci. Stud.,"Withner & P. A. Harding  Withner & G. E. Pollard  Withner & D. G. Hunt  Withner & H. P. Jesup  Withner & J. Jiménez Almonte  C. L. Withner, K. W. Allison & B. Guénard",1918,2012,,,,,,,,,,
