Name,First date flourished,Remarks,ASA Botanist ID,GUID,Variant name,Author name,B & P Author Abbrev.,Standard/Label Name,Full Name,Geography Author,Geography Collector,Specialty Author,Specialty Collector,Citation as Author,Citation as Collector,Member of teams/groups,Collector Teams:,Author Teams:,Date of birth,Date of death,Author in,Holdings,Collections in,First date collected,Start Date,URL,Last date flourished,Last date collected,Citation as Determiner,End Date,Geography Determiner,Specialty Determiner
"Clark, John Littner",,"Example of Name Published: Grias longirachis S. A. Mori & J. L. Clark (2000). Education: B.S. (University of Vermont; 1993); Ph. D. (George Washington University; 2005; Dissertation: Systematics of the neotropical plant genera Alloplectus and Glossoloma (Gesneriaceae: Episcieae). Research: Gesneriaceae; biodiversity of neotropical flora. [collector note: AAU, BOLV, BR, COL, E, F, GH, GUAY, HA, K, LOJA, LPB, MER, MO, NY, P, PMA, PORT, QCA, QCNE, SCZ, SEL, SRP, UC, UNA, US, USM, and VEN]",148018 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2599027e-d9f3-4da6-a636-de6c866bf5ad,John Littner Clark,J. L. Clark,J. L. Clark,J. L. Clark,"Clark, John Littner",United States of America,"Canada, Costa Rica, Cuba, Dominica, Ecuador, Martinique, Panama, Peru, United States of America, Venezuela",Spermatophytes,Phanerogams,"Brittonia; a Series of Botanical Papers. New York, NY; Selbyana","Selbyana; Novon; a Journal for Botanical Nomenclature. St. Louis, MO; Selbyana",,"J. L. Clark & C. Watt  J. L. Clark, F. Sanchez & L. Jost  J. L. Clark & Y. Troya  J. L. Clark & V. Duran bis  J. L. Clark, E. Narvaez & T. Pauchi  J. L. Clark, E. Austen, S. Bennet & D. Kapan  J. L. Clark & S. C. Clark  D. A. Neill, H. Vargas, T. Núñez & J. L. Clark  J. L. Clark, L. P. Kvist, P. Mendosa-T. & L. E. Skog  P. J. M. Maas, L. W. Chatrou, C. P. Repetur & J. L. Clark  J. L. Clark & H. Vargas  J. L. Clark & N. Pitman  W. A. Palacios & J. L. Clark  J. L. Clark & S. Yustiz  J. L. Clark, S. G. Clark, E. Folleco & B. Syka  J. L. Clark & L. E. Skog  M. Nee & J. L. Clark  J. L. Clark & J. F. Smith  J. L. Clark, R. Fleiss & F. Gurumendi  J. L. Clark, M. Nee, L. A. Bohs & S. D. Knapp","J. L. Clark & L. E. Skog  J. L. Clark & J. F. Smith  J. L. Clark, M. Nee, Bohs & S. Knapp",1969,,,Search for specimens collected by J. L. Clark,"[no date] (1),  1996 (8),  1997 (2)",,,,,,,,,
"Clark, John Robert",,"Gesneriaceae systematics and biogeography, particularly of Cyrtandra. [collector note: SEL]",191303 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/aaf5fee2-b261-4068-9a90-e786dd630755,John Robert Clark,J. R. Clark,J. R. Clark,J. R. Clark,"Clark, John Robert",United States of America,"Costa Rica, Fiji, Samoa, Trinidad and Tobago",Spermatophytes,Phanerogams,Selbyana,Selbyana,,"B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin",,1974,,,,,,,,,,,,,
"Collins, Guy N.",,"[author note: Herbarium and types: US (1,071, original), USDA; additional material at BM, F, MIN, NY] [collector note: Guatemala, Mexico, West Indies: US (1093, orig.); Florida: BM (r. 1898), US. Also collected in Africa]",106839 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cdfe78da-e2a4-4195-b44b-a8b22f2c5d4b,"Collins, G. N.; Guy N. Collins",G. N. Collins,G. N. Collins,G. N. Collins,"Collins, Guy N.",United States of America,"Costa Rica, Guatemala, Mexico, United States of America",Spermatophytes,,"Castanea; Journal of the Southern Appalachian Botanical Club. Morgantown. WV; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D; Pl. Collectors N. Mexico. 1979,,"C. F. Baker & G. N. Collins  G. N. Collins, T. H. Kearney & J. H. Kempton  C. L. Pollard & G. N. Collins  G. N. Collins & J. H. Kempton  O. F. Cook & G. N. Collins  C. L. Pollard, G. N. Collins & E. L. Morris  O. F. Cook & G. N. Collins",O. F. Cook & G. N. Collins,1872,1938,,Search for specimens collected by G. N. Collins,1921 (1),,,,,,,,,
"Cook, Orator Fuller",,"; vide Underwood, L. M. [author note: Herbarium and types: US (15,000 cryptogams); additional material at BPI, DPU, FH, GH, MO, NY, PH (hepatics), WELC (now at NY)] [collector note: Original coll. from America and Africa: US (incl. 15.000 Crypt.); Colombia (Cauca, 1913): US; Costa Rica: GH, US (orig.); Guatemala: US (orig.); Haiti: US (orig.); Liberia (1892-1895): GH, MO, US (5000, orig.); Mexico: MO, US; District of Columbia, New York: BPI, K (82)]",101390 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/76aecdfc-46fa-4aa8-aab1-3e1f83eb31d8,"Cook, O. F.; Cook, Orator Fuller et alia; Orator Fuller Cook",O. F. Cook,O. F. Cook,O. F. Cook,"Cook, Orator Fuller",United States of America,"Colombia, Costa Rica, Guatemala, Haiti, Liberia, Mexico, United States of America",Fungi and Lichens; Pteridophytes; Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,O. F. Cook & R. D. Martin  O. F. Cook & R. F. Griggs  O. F. Cook & G. B. Gilbert  O. F. Cook et al.  O. F. Cook & G. N. Collins  O. F. Cook & C. B. Doyle  O. F. Cook & Doyle  O. F. Cook & G. N. Collins  L. M. Underwood & O. F. Cook,O. F. Cook & Doyle  O. F. Cook & G. N. Collins,1867,1949,Cent. Ill. Fungi Gen. Syn.; Hepat. Amer.,Search for specimens collected by O. F. Cook,"1887 (7),  1888 (1),  1889 (2),  1892 (1),  1894 (1),  1899 (5),  1904 (2),  1905 (1),  1924 (1),  1926 (1)",,,,,,,,,
"Cooper, George Proctor",,"[author note: Herbarium and types: NY; additional material at BM, F, GH, K, MICH, MO, PH, US, WIS] [collector note: Dominica (1933): F (166), MO; Liberia (1928-1929): A, B (242), BM, F (442), K (470), US (380); Panama, Costa Rica (1927-1928): B (100), F (683), GH, K, MICH, NY, P, S, US (757); ""W. Indies"": MICH (150), NY (290); Brazil: UC, US]",142311 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/44b7c4ff-672a-483d-a428-1e59e4c5a1a5,George Proctor Cooper; George Proctor-Cooper,G. P. Cooper,G. P. Cooper,G. P. Cooper,"Cooper, George Proctor",United States of America,"Brazil, Costa Rica, Dominica, Liberia, Panama",Spermatophytes,Phanerogams,"Taxon. Lit., ed. 2 (TL2)/S",Index Herbariorum - Collectors A-D,,G. P. Cooper & G. M. Slater  G. P. Cooper & Record,G. P. Cooper & Record,1896,,,Search for specimens collected by G. P. Cooper,"[no date] (7),  1924 (1),  1926 (1),  1927 (3),  1928 (122),  1929 (253),  1933 (15)",,,,,,,,,
"Crow, Garrett Eugene",,"[author note: Herbarium and types: NHA; Caryophyllaceae (Sagina), aquatic vascular plants] [collector note: MSC, NHA]",101186 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/0d236362-4905-4615-a66c-243c688b7d64,Garrett E. Crow,G. E. Crow,G. E. Crow,G. E. Crow,"Crow, Garrett Eugene",United States of America,"Costa Rica, Mexico, United States of America",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8; Pl. Collectors N. Mexico. 1979",,"McDonnell & G. E. Crow  C. B. Hellquist, G. E. Crow & C. E. Hellquist  C. B. Hellquist & G. E. Crow  G. E. Crow, C. B. Hellquist, C. T. Philbrick & D. J. Padgett  G. E. Crow & J. Schloss  Garrett E. Crow & Charlyn W. Crow  H. Tyler, G. E. Crow & C. B. Hellquist  C. B. Hellquist, H. Tyler & G. E. Crow  G. E. Crow & P. B. Weatherbee  G. E. Crow, W. D. Countryman & C. B. Hellquist  G. E. Crow, W. D. Countryman, C. B. Hellquist & E. Faris  G. E. Crow & F. E. Brackley  G. E. Crow & C. B. Hellquist  P. B. Weatherbee & G. E. Crow  N. Ritter & G. E. Crow  T. R. Dudley, R. N. P. Goodall, & G. Crow  G. E. Crow, C. B. Hellquist & C. E. Hellquist  G. E. Crow & L. A. Crow  G. E. Crow, D. I. Rivera & C. Charpentier",McDonnell & G. E. Crow  Hellquist & G. E. Crow,1942,,Aquatic Vasc. Pl. New England,Search for specimens collected by G. E. Crow,"1993 (1),  1999 (1),  2000 (1),  2006 (1)",,,,,,,,,
"Cruz, Marcella",,"[collector note: Herbarium of the University of Florida Agricultural Experiment Station. San Jose, Costa Rica]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/6473545d-8435-4e4b-9f2a-c06d2fe12a62,"Marcella Cruz; Cruz, M.",,,M. Cruz bis,"Cruz, Marcella",,Costa Rica,,Spermatophytes,,specimen (GH) Calanthe calanthoides (A. Richard & Galeotti) Hamer & Garay,,,,,,,Search for specimens collected by M. Cruz bis,1960 (1),1960,,,,,,,,
D. L. Rogerson,,"[collector note: Puerto Rico, 1954; A]",189881 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cce111b4-0978-4565-8205-9dd378a664a9,,,,D. L. Rogerson,D. L. Rogerson,,"Costa Rica, United States of America",,Angiosperms; Spermatophytes,,Bomarea acutifolia (barcode 255892) A,,"Schubert B. G. & D. L. Rogerson  B. G. Schubert, H. F. Winters, & D. L. Rogerson",,,,,,,1955,,,,,,,,
"Dalström, Stig",1990,"[author note: Herbarium and types: SEL. Odontoglossum; Eponymy: Trichopilia dalstroemii Dodson (2003)] [collector note: MO, SEL]",133068 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f1ef1de5-51ab-46c5-a0a2-0f73b1e259b1,"Dalström, S.; Stig Dalstroem; Stig Dalström",Dalström,Dalström,S. Dalström,"Dalström, Stig",United States of America,"Bolivia, Colombia, Costa Rica, Ecuador, Sweden",Spermatophytes,Phanerogams,"Lindleyana; Scientific Journal of the American Orchid Society. West Palm Beach, FL",Orquideologia; Revista de la Sociedad Colombiana de Orquieologia. Medellin,,"C. A. Luer, A. C. Hirtz, S. Dalström, T. Höijer & J. Kuijt  C. A. Luer, S. Dalström, T. Höijer, D. D'Alessandro & J. Kuijt  C. A. Luer, S. Dalström, T. Hoijer & D. D'Alessandro  C. A. Luer, S. Dalström, T. Höijer & A. C. Hirtz  C. A. Luer & S. Dalström  A. C. Hirtz, S. Dalström, L. Arnby, J. del Hierro, E. Astorga, S. Ortega & J. Cabezas  C. A. Luer, S. Dalström, T. Höijer, J. Kuijt & A. C. Hirtz  S. Dalström & T. Höijer  C. A. Luer, S. Dalström & T. Höijer  C. A. Luer, J. P. Luer, S. Dalström & W. Teague  S. Dalström & L. Arnby  S. Dalström, J. Sönnemark & R. Burian  C. A. Luer, D. D'Alessandro & S. Dalström  S. Dalström, M. Reed & C. Shroeder  S. Dalström & L. Dalström  S. Dalström, T. Höijer & H. Wanntorp  C. A. Luer, A. C. Hirtz, S. Dalström & T. Höijer  S. Dalström, L. Jost & C. A. Luer  C. A. Luer, S. Dalström, T. Höijer, J. Kuijt & D. D'Alessandro  C. A. Luer, A. Andreeta, D. D'Alessandro & S. Dalström  C. A. Luer, S. Dalström, T. Höijer & J. Kuijt  C. A. Luer, A. C. Hirtz & S. Dalström  S. Dalström & C. Udd  S. Dalström & J. Sönnemark  S. Dalström, S. Ingram & K. Ingram-Ferrell  R. L. Dressler & S. Dalström  T. Höijer & S. Dalström  B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin  C. A. Luer, A. Andreetta & S. Dalström",Dressler & Dalström,,,,Search for specimens collected by S. Dalström,"1983 (1),  1992 (1)",,,,,,,,,
"Daniels, Gilbert S.",1960,"[author note: Former Director, Hunt Institute for Botanical Documentation] [collector note: F]",107494 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/f2914ffc-cce7-4a4c-a7aa-ca31e8729982,"Daniels, G. S.; Gilbert S. Daniels",G. S. Daniels,G. S. Daniels,G. S. Daniels,"Daniels, Gilbert S.",United States of America,Costa Rica,Spermatophytes,Phanerogams,"Brenesia 15: suppl. 1979; Authors of Plant Names. Royal Botanic Gardens, Kew",Bresnia 15 (Suppl.): 21-22. 1979.,,G. S. Daniels & F. G. Stiles  R. W. Read & G. S. Daniels,,,,,,,,,,,,,,,
"Dauforth, R. E.",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/20d87177-ee64-4b9b-8e9a-5116e7627d57,,,,R. E. Dauforth,"Dauforth, R. E.",,Costa Rica,,Spermatophytes,,,,,,,,,Search for specimens collected by R. E. Dauforth,1936 (1),,1936,,,,,,,
"Dayton, William Adams",,"[author note: Herbarium and types: USFS (1561, orig.)] [collector note: USFS (1561, orig.)]",101680 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/a67642c2-cf94-470a-a151-8915c6295f32,William Adams Dayton,Dayton,Dayton,W. A. Dayton,"Dayton, William Adams",United States of America,"Costa Rica, United States of America",Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; TL-2/S",Index Herbariorum - Collectors A-D,,W. A. Dayton & W. R. Barbour  H.P. Kelsey & Dayton,H.P. Kelsey & Dayton,1885,1958,"Notes Natl. Forest Range Pl., Pt. 1, Grasses; Standard. Pl. Names, ed. 2.",Search for specimens collected by W. A. Dayton,"1911 (1),  1912 (4),  1913 (52),  1914 (1),  1916 (1)",,,,,,,,,
"De Wilde, Bart",2000,"[Botanist note: Trinity College, Dublin]",181454 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/cf895ace-a205-4f62-baa2-9a9209795a0d,Bart De Wilde,B. De Wilde,,B. De Wilde,"De Wilde, Bart",,"Costa Rica, Thailand",,,Full name in: Taxon 65(3): 463. 2016,Full name in: Taxon 65(3): 463. 2016,,,,,,,,,,,,,,Kew Bull. 55(4): 993. 2000,,Ireland,Spermatophytes
"DeAbate, John",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/01a937e8-5576-4910-bbd7-83825d2eb5fc,"John DeAbate; DeAbate, J.",,,J. DeAbate,"DeAbate, John",,Costa Rica,,Spermatophytes,,,,"J. DeAbate, students & G. B. Rossbach",,,,,,,,1961,,,,,,,
"Debouck, Daniel Gabriel",,"Research: Pl. Genetic Resources, Legume Tax. Name published: Phaseolus talamancensis Debouck & A.M. Torres, Novon 11(2): 280-286, f. 1-5. 2001. [collector note: BR, COL, F, G, K, LPB, MEXU, MICH, MO, QCA, SI, UC, US]",182560 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/67d997f9-fcb4-4ecd-a441-1a7d19e9b5c4,D. G. Debouck,Debouck,Debouck,D. G. Debouck,"Debouck, Daniel Gabriel",Belgium,"Argentina, Bolivia, Colombia, Costa Rica, Ecuador, Guatemala, Mexico, Peru",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew",,,"G. F. Freytag & D. G. Debouck  D. G. Debouck, R. Araya-Villalobos & N. Chaves Barrantes  D. G. Debouck, N. Chaves-Barrantes & R. G. Araya-Villalobos  D. G. Debouck & A. J. Morales de Borja","Freytag & Debouck  Debouck & Araya  D. G. Debouck, R. Araya-Villalobos & N. C. Barrantes  D. G. Debouck, N. Chaves-Barrantes & R. G. Araya-Villalobos",1952,,,,,,,,,,,,,
"Delprete, Piero G.",,"[author note: Herbarium and types: NY, TEX. P. G. Delprete verified these data on 5 Apr 1998] [collector note: COL, F, MO, NY, TEX]",112854 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/3849b9d0-f88e-44d3-b06c-7e134cb18970,"Delprete, P. G.; Piero G. Delprete",Delprete,Delprete,P. G. Delprete,"Delprete, Piero G.",United States of America,"Brazil, Colombia, Congo, Costa Rica, Cuba, Ecuador, Italy, United States of America, Venezuela",Spermatophytes,Phanerogams,"Novon; a Journal for Botanical Nomenclature. St. Louis, MO",Fl. Neotrop. Monogr. 77(1): 81. 1999; pers. comm.,,"E. B. Souza, P. G. Delprete & F. S. Cavalcanti  P. G. Delprete & Fagua  P. G. Delprete, G. Onore & A. Verduga  C. Persson & P. G. Delprete  F. Achille & P. G. Delprete  P. G. Delprete & J. H. Kirkbride",C. Perss. & Delprete  Achille & Delprete  Delprete & J. H. Kirkbr.,1958,,,Search for specimens collected by P. G. Delprete,1993 (1),,,,,,,,,
"Diego Vargas, L.",,coll. with D. Santamaria A.,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/79c777c6-3303-4739-8c82-25afd95d0e80,,,,L. Diego V.,"Diego Vargas, L.",,Costa Rica,,Spermatophytes,,Journal of the Botanical Research Institute of Texas,,"D. Santamaria A., L. Diego V. & G. VIllalobos",,,,,,,2011,,,,,,,,
"Donnell Smith, John",,"[author note: Herbarium and types: US; duplicates: A, B (mostly destroyed), BM, C, COLU, E, F, G, GH, K, L, M, MO, NY, NYS, P, PH, WELC] [collector note: A, B (mostly destroyed), BM, C, COLU, E, F, G, GH, K, L, M, MO, NY, NYS, P, PH, US (orig.), WELC]",102347 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/45c87f68-85a7-40b8-ad6e-9fbc417082ef,"Smith, John Donnell; John Donnell Smith",Donnell Smith,Donn.Sm.,J. Donnell Smith,"Donnell Smith, John",United States of America,"Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, United States of America",Pteridophytes; Spermatophytes,,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors S,,J. Donnell Smith & C. F. Austin  Rose & Donnell Smith  Mez & Donnell Smith  Donnell Smith & Rose  K. Schumann & Donnell Smith  J. M. Coulter & Donnell Smith  C. C. Mez & J. Donn. Smith  C. F. Austin & J. Donn. Smith,Rose & Donnell Smith  Mez & Donnell Smith  Donnell Smith & Rose  K. Schumann & Donnell Smith  J. M. Coulter & Donnell Smith  Mez & Donn. Smith,1829,1928,Enum. Pl. Guatem.,Search for specimens collected by J. Donnell Smith,"[no date] (60),  1876 (16),  1877 (32),  1878 (25),  1879 (3),  1880 (10),  1881 (116),  1882 (64),  1883 (67),  1884 (65),  1885 (20),  1886 (3),  1887 (3),  1889 (34),  1890 (58),  1892 (58),  1893 (2),  1894 (39),  1895 (1),  1896 (61),  1897 (2),  1920 (1),  1923 (1),  1925 (2),  1982 (1)",,,,,,,,,
"Doyle, Conrad Bartling",,"[author note: Herbarium and types: GH (Costa Rica), US (Colombia); travelled in Central America] [collector note: Colombia 1905-1913: US; Costa Rica: GH]",127384 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/669f266d-88ca-4856-b2a9-db3d76c8aa74,"Conrad Bartling Doyle; Doyle, C. B.",Doyle,Doyle,C. B. Doyle,"Doyle, Conrad Bartling",United States of America,"Colombia, Costa Rica, Guatemala",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Taxonomic Literature. Second Edition. Utrecht",Index Herbariorum - Collectors A-D,,O. F. Cook & C. B. Doyle  O. F. Cook & Doyle,O. F. Cook & Doyle,1884,1973,,,,,,,,,,,,
"Edmondson, N.",,"[collector note: SEL. with B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, G. Gerlach, W. Higgins, J. M. Heaney, J. Katzenstein, H. Montealegre & F. Pupulin]",,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/be0677c1-2f01-4068-933c-7fc5e13999b9,,,,N. Edmondson,"Edmondson, N.",,Costa Rica,,Spermatophytes,,specimen GH Myoxanthus vittatus Pupulin & M. A. Blanco,,"B. K. Holst, J. R. Clark, M. A. Blanco, S. Dalström, N. Edmondson, G. Gerlach, W. E. Higgins, J. M. Heaney, J. Katzenstein, H. L. P. Montealegre & F. Pupulin",,,,,,,,2003,,,,,,,
"Endrés, Augustus R.",,"Example of Name Published: Trichocentrum caloceras Endrés & Rchb.f., Gard Chron., 1871: 1257. 1871. TL-2 (1: 753. 1976) cites the death year as ""1977."" [collector note: B, BM, K, W]",124013 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d7e82b8a-52aa-489e-a808-73273edd46c2,Augustus R. Endrés,Endrés,Endrés,A. R. Endrés,"Endrés, Augustus R.","Colombia, France","Colombia, Costa Rica, Panama",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; C. Ossenbach, F. Pupulin & R. Jenny, Lankesteriana 10(1): 19-47. 2010 (via Carlos Ossenbach); C. Ossenbach & V. Mueller, Bulletin du Cercle Généalogique d'Alsace 171: 144-161. 2010 (via Carlos Ossenbach)",Index Herbariorum - Collectors E-H,,Endres & H. Gustav Reichenbach,Endres & H. Gustav Reichenbach,,,,Search for specimens collected by A. R. Endrés,"[no date] (110),  1867 (5),  1875 (1)",,1838 ca.,,,,,1874,,
"Escobar, Rodrigo",1935,"Example of Name Published: Acostaea tenax Luer & R.Escobar in Orquideologia 15(2-3): 123. 1982. [author note: Orchidaceae] [collector note: AMES, JAUM, SEL]",102104 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ef6c0a3d-14b1-4f16-bf1c-2bcf0a1a4fef,"Escobar y Restrepo, Rodrigo; Escobar, R. et alia; Rodrigo Escobar",R. Escobar,R. Escobar,R. Escobar,"Escobar, Rodrigo",Colombia,"Colombia, Costa Rica",Spermatophytes,Phanerogams,"Authors of Plant Names. Royal Botanic Gardens, Kew; Birth year from Peggy Alrich; Death year from Lisa Thoerle",Phytologia; Designed to Expedite Botanical Publication. New York,,"R. Escobar, L. C. Vieira, F. Sigert & C. Head  R. Escobar, O. Monsalve & J. M. Serna  C. A. Luer, J. P. Luer, R. Escobar, A. De Wilde & J. Julian  C. A. Luer, R. Escobar & E. Valencia  R. Escobar, C. H. Dodson & P. M. Dodson  E. Valencia & R. Escobar  R. Escobar, L. Posada, J. F. Posada & Otros  R. Escobar & E. Valencia  R. Escobar et al.  C. H. Dodson, P. M. Dodson, R. Escobar, L. C. Vieira & A. Vieira  C. A. Luer, J. P. Luer, R. Escobar, A. De Wilde & J. Gómez  C. A. Luer, J. P. Luer, R. Escobar & D. Portillo  R. Escobar & S. Vieira  C. A. Luer, J. P. Luer, R. Escobar, L. Moreno de Posada, B. López, F. López & G. Arteaga  C. A. Luer, J. P. Luer, R. Escobar & A. C. Hirtz  C. A. Luer, J. P. Luer, R. Escobar & J. Gomez  C. A. Luer, J. P. Luer, O. Ospina, R. Escobar & E. Valencia  C. A. Luer, R. Escobar & D. D'Alessandro  C. A. Luer, J. P. Luer, R. Escobar & A. de Wilde  G. R. Schnitter & R. Escobar  R. Escobar & H. Volles  C. A. Luer, R. Escobar & D. Portillo  R. Escobar, F. Lopez & W. Teague  R. Escobar, M. Garces & W. Ballestero  J. M. Munera & R. Escobar  C. A. Luer & R. Escobar  C. A. Luer, R. Escobar & A. Pozo  C. A. Luer, J. P. Luer & R. Escobar  R. Escobar & R. Vega A.  R. Escobar, R. L. Dressler, M. Retana, D. E. de Retana & E. Retana  R. Escobar, C. H. Dodson, P. M. Dodson & E. Valencia  W. Königer, H. Königer, R. Escobar, A. Böhmer & E. Valencia  C. H. Dodson, R. Escobar & E. Valencia  R. Escobar, W. Koniger, H. Koniger & E. Valencia  C. A. Luer, J. P. Luer, R. Escobar & E. Valencia  C. A. Luer, J. P. Luer, R. Escobar, M. Webb & A. M. Pridgeon  C. A. Luer, J. P. Luer, R. Escobar, A. M. Pridgeon & E. Valencia  C. A. Luer, J. P. Luer, A. C. Hirtz & R. Escobar  R. Escobar, L. Posada, J. F. Posada, F. López & J. Cárdenas  R. Escobar, D. Portillo & D. E. de Retana  R. Escobar, W. Ballestero & A. Cedeño  C. A. Luer, J. P. Luer, J. Kuhn & R. Escobar  R. Escobar, E. Valencia & H. Volles  R. Escobar, E. Valencia, W. Koniger & H. Koniger  Dodson & R. Escobar  C. H. Dodson & R. Escobar  C. H. Dodson, P. M. Dodson & R. Escobar  C. A. Luer, J. P. Luer, J. Kuhn, R. Escobar & D. Welisch",Luer & R. Escobar  Dodson & R. Escobar,,,Native Ecuadorian Orchids; Native Colomb. Orchids,Search for specimens collected by R. Escobar,[no date] (7),,,,2009,,,,,
"Estrada Chavarria, Armando Gerardo",1998,"Example of Name Published: Matisia tinamastiana A. Estrada & A. Cascante (1998). [author note: CR; dendrology, Myrtaceae, Melastomataceae]",170552 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/d3440420-e2b1-4aba-a491-b16a9843863c,"Estrada C., A. G.",A. Estrada,,A. G. Estrada C.,"Estrada Chavarria, Armando Gerardo",Costa Rica,,Spermatophytes,,Brenesia 49-50: 79. 1998,,,"A. Estrada & D. Santamaria Aguilar  A. G. Estrada C., D. Santamaria A. & R. A. de J. Aguilar F.","A. Estrada & D. Santamaria  A. Estrada, D. Santamaria & Aguilar",,,,,,,,,,,,,,
"Faden, Robert Bruce",,"[author note: MO, US; Commelinaceae; Bibliography in: Pl. Press n.s., 4(1): 8-9. 2001] [collector note: Africa; US; Bibliography in: Pl. Press n.s., 4(1): 8-9. 2001]",122602 botanist,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1a35d677-e150-4752-bc87-07febc3fe2a1,"Faden, R. B.; Robert Bruce Faden",Faden,Faden,R. B. Faden,"Faden, Robert Bruce",United States of America,"Costa Rica, India, Sri Lanka, United States of America",Pteridophytes; Spermatophytes,Phanerogams; Pteridophytes,"Authors of Plant Names. Royal Botanic Gardens, Kew; Index Herbariorum. Part 1: The Herbaria of the World. Eighth Edition. Bronx, NY","Index Herbariorum, ed. 8",,"R. B. Faden, A. J. Faden & Evans  R. B. Faden, S. M. Phillips, A. M. Muasya & E. S. Macha  R. B. Faden & A. J. Faden  R. B. Faden & C. R. Hardy",Faden & C. R. Hardy,1942,,,Search for specimens collected by R. B. Faden,"1943 (1),  1964 (1)",,,,,,,,,
"Ferrell, Karen",,,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/2ebf2192-1519-4f94-95eb-2b9adc2b0a7c,"Ferrell, K.; Karen Ferrell",,,K. Ferrell,"Ferrell, Karen",,Costa Rica,,Spermatophytes,,,,"S. Ingram, K. Ferrell & D. Ramirez  S. Ingram, K. Ferrell & J. T. Atwood",,,,,,,,1990,,,,,,,
